Archivo;Extension;Tipo;Dominio
01. Gu¡a para el dise¤o e implementaci¢n de una estrategia de seguridad de la informaci¢n.pdf;pdf;Guias;2. ArquitecturaMisional - Estrategia TI
02. Gu¡a del dominio de Estrategia TI.pdf;pdf;Guias;2. ArquitecturaMisional - Estrategia TI
03. Guia Estructura Plan PETI.pdf;pdf;Guias;2. ArquitecturaMisional - Estrategia TI
04. Gu¡a para el dise¤o e implementaci¢n de una estrategia de seguridad de la informaci¢n.pdf;pdf;Guias;2. ArquitecturaMisional - Estrategia TI
05. Gu¡a para la definici¢n del portafolio de servicios de TI.pdf;pdf;Guias;2. ArquitecturaMisional - Estrategia TI
06. Gu¡a para la definici¢n y dise¤o de una pol¡tica de TI.pdf;pdf;Guias;2. ArquitecturaMisional - Estrategia TI
