Recurso	URL	Dominio	Tipo
Pagina Principal Arquitectura TI Colombia	https://www.mintic.gov.co/arquitecturati/630/w3-channel.html	General	PaginaWeb
Compilacion de Glosario y Artefactos	https://www.mintic.gov.co/arquitecturati/630/w3-propertyvalue-8161.html#	General	PaginaWeb
Lineamientos del Marco	https://www.mintic.gov.co/arquitecturati/630/propertyvalues-8158_descargable_1.pdf	General	PDF
