Archivo;Extension;Tipo;Dominio
01. articles-9375_recurso_4.pdf;pdf;;04. Interoperabilidad
02. articles-9375_recurso_5.pdf;pdf;;04. Interoperabilidad
03. articles-9375_recurso_6.xlsx;xlsx;;04. Interoperabilidad
04. interoperabilidad - arquitectura ti.pdf;pdf;;04. Interoperabilidad
