Archivo;Extension;Tipo;Dominio
01. Guia Tecnica B sica de Informaci¢n.pdf;pdf;Guias;3. ArquitecturaInformacion - Informacion
02. Guia Tecnica de Informaci¢n - Administraci¢n del Dato Maestro.pdf;pdf;Guias;3. ArquitecturaInformacion - Informacion
03. Guia Tecnica - Ciclo de vida del dato.pdf;pdf;Guias;3. ArquitecturaInformacion - Informacion
04. Guia Tecnica de Informaci¢n - Mapa de Informaci¢n.pdf;pdf;Guias;3. ArquitecturaInformacion - Informacion
05. Guia Tecnica de Informaci¢n - Migraci¢n del dato.pdf;pdf;Guias;3. ArquitecturaInformacion - Informacion
06. Guia Tecnica - Gobierno del dato.pdf;pdf;Guias;3. ArquitecturaInformacion - Informacion
07. Guia Como construir el catalogo de componentes de Informaci¢n.pdf;pdf;Guias;3. ArquitecturaInformacion - Informacion
08. Guia para la gesti¢n de documentos y expedientes electr¢nicos.pdf;pdf;Guias;3. ArquitecturaInformacion - Informacion
